City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,Muroto,33.28,134.15,80.6,65,20,8.05,JP,2020-06-23 03:04:58
198,Sao Joao Da Barra,-21.64,-41.05,69.46,83,0,8.25,BR,2020-06-23 03:04:58
199,Roald,62.58,6.13,55.4,93,100,10.29,NO,2020-06-23 03:01:05
200,Georgetown,5.41,100.34,82.4,83,20,5.82,MY,2020-06-23 03:04:58
201,Vestmanna,62.16,-7.17,46.4,93,96,13.87,FO,2020-06-23 03:04:58
202,Kiunga,-6.12,141.29,81.39,82,87,3.51,PG,2020-06-23 03:04:58
203,Moron,-34.65,-58.62,59.0,87,90,6.93,AR,2020-06-23 03:04:59
204,Puerto Palomas,31.77,-107.62,93.2,8,1,11.41,MX,2020-06-23 03:04:59
205,Tambacounda,13.75,-13.76,87.8,58,61,11.41,SN,2020-06-23 03:04:59
206,Mkushi,-13.62,29.39,51.26,69,0,6.33,ZM,2020-06-23 03:04:59
207,Venezuela,8.0,-66.0,78.55,82,18,8.57,VE,2020-06-23 03:04:59
208,Komsomolskiy,40.43,71.72,84.2,26,99,2.24,UZ,2020-06-23 03:05:00
209,Kokstad,-30.55,29.42,42.03,60,0,4.07,ZA,2020-06-23 03:05:00
210,Douglas,41.3,-96.17,69.01,82,40,6.93,US,2020-06-23 03:05:00
211,Santa Maria Da Boa Vista,-8.81,-39.83,72.46,82,1,11.59,BR,2020-06-23 03:05:00
212,Lakes Entrance,-37.88,147.98,57.0,79,70,3.0,AU,2020-06-23 03:05:00
213,Richards Bay,-28.78,32.04,59.59,87,0,7.54,ZA,2020-06-23 03:05:00
214,Vardo,70.37,31.11,41.0,75,75,9.17,NO,2020-06-23 03:04:37
215,Half Moon Bay,37.46,-122.43,72.0,60,5,9.17,US,2020-06-23 03:05:01
216,Haapiti,-17.57,-149.87,80.6,57,20,6.93,PF,2020-06-23 03:05:01
217,Coihaique,-45.58,-72.07,35.6,95,46,6.93,CL,2020-06-23 03:05:01
218,Changli,39.7,119.15,82.67,51,100,10.29,CN,2020-06-23 03:05:01
219,Xam Nua,20.42,104.04,85.48,48,100,5.95,LA,2020-06-23 03:05:02
220,Verkhoyansk,67.54,133.38,88.61,28,0,6.31,RU,2020-06-23 03:05:02
221,George Town,5.41,100.34,82.4,83,20,5.82,MY,2020-06-23 03:04:26
222,Sardarshahr,28.43,74.48,97.2,36,0,14.7,IN,2020-06-23 03:05:02
223,Vila Franca Do Campo,37.72,-25.43,66.2,93,40,11.41,PT,2020-06-23 03:05:02
224,Tiznit,29.58,-9.5,66.54,83,29,1.43,MA,2020-06-23 03:05:02
225,Chekhov,55.14,37.47,61.0,87,100,4.47,RU,2020-06-23 03:05:03
226,Camabatela,-8.19,15.38,56.7,40,0,3.06,AO,2020-06-23 03:05:03
227,Bandarbeyla,9.49,50.81,81.63,65,3,25.43,SO,2020-06-23 03:05:03
228,Thiruvananthapuram,8.48,76.92,84.2,66,20,4.7,IN,2020-06-23 03:05:03
229,Bethel,41.37,-73.41,75.2,69,1,5.82,US,2020-06-23 03:01:54
230,Ardmore,34.17,-97.14,82.0,78,1,3.76,US,2020-06-23 03:00:40
231,Nuevo Progreso,23.17,-97.95,82.99,67,91,7.72,MX,2020-06-23 03:05:04
232,Bollnas,61.35,16.39,57.83,68,86,2.21,SE,2020-06-23 03:05:04
233,Narrabri,-30.32,149.78,53.6,62,90,5.82,AU,2020-06-23 03:05:04
234,Zaltan,32.95,11.87,69.98,71,0,6.8,LY,2020-06-23 03:05:04
235,Sorland,67.67,12.69,53.42,94,89,5.17,NO,2020-06-23 03:05:04
236,Umm Kaddadah,13.6,26.69,85.86,33,3,7.83,SD,2020-06-23 03:05:05
237,Srednekolymsk,67.45,153.68,71.4,22,0,14.47,RU,2020-06-23 03:05:05
238,Kikwit,-5.04,18.82,67.69,40,1,2.42,CD,2020-06-23 03:05:05
239,Tezu,27.92,96.17,78.91,85,75,2.8,IN,2020-06-23 03:05:05
240,Hambantota,6.12,81.12,84.2,79,75,13.87,LK,2020-06-23 03:03:59
241,Panama City,8.99,-79.52,82.4,88,100,4.7,PA,2020-06-23 03:04:22
242,Tiksi,71.69,128.87,52.93,59,0,4.83,RU,2020-06-23 03:05:06
243,College,64.86,-147.8,52.0,93,90,9.17,US,2020-06-23 03:05:06
